Date,Time,Open,High,Low,Close,Volume
2006.09.23,00:00,116.490,116.490,116.490,116.490,1
2006.09.24,00:00,116.490,116.560,116.450,116.540,171
2006.09.25,00:00,116.540,116.740,116.110,116.380,2686
2006.09.26,00:00,116.380,117.220,116.240,117.030,3216
2006.09.27,00:00,117.030,117.630,116.900,117.440,2476
2006.09.28,00:00,117.440,117.930,117.320,117.790,2656
2006.09.29,00:00,117.790,118.170,117.520,118.170,2726
2006.09.30,00:00,118.170,118.170,118.170,118.170,1
2006.10.01,00:00,118.170,118.170,117.850,118.030,501
2006.10.02,00:00,118.030,118.380,117.520,117.620,2916
2006.10.03,00:00,117.620,118.190,117.380,118.050,2596
2006.10.04,00:00,118.050,118.270,117.750,117.780,2216
2006.10.05,00:00,117.780,117.850,117.450,117.780,2166
2006.10.06,00:00,117.780,119.090,117.610,119.040,3446
2006.10.07,00:00,119.040,119.040,119.040,119.040,1
2006.10.08,00:00,119.040,119.040,118.880,118.910,191
2006.10.09,00:00,118.910,119.270,118.830,119.060,1856
2006.10.10,00:00,119.060,119.770,118.890,119.720,2746
2006.10.11,00:00,119.720,119.830,119.340,119.710,2476
2006.10.12,00:00,119.710,119.720,119.250,119.280,1896
2006.10.13,00:00,119.280,119.870,119.070,119.640,2706
2006.10.14,00:00,119.640,119.640,119.640,119.640,1
2006.10.15,00:00,119.640,119.760,119.620,119.740,181
2006.10.16,00:00,119.740,119.780,118.940,119.060,2546
2006.10.17,00:00,119.060,119.120,118.380,118.660,3366
2006.10.18,00:00,118.660,119.160,118.310,118.910,2576
2006.10.19,00:00,118.910,118.920,118.050,118.280,2756
2006.10.20,00:00,118.280,118.770,118.140,118.650,2136
2006.10.21,00:00,118.650,118.650,118.650,118.650,1
2006.10.22,00:00,118.650,118.750,118.550,118.590,341
2006.10.23,00:00,118.590,119.370,118.580,119.330,1686
2006.10.24,00:00,119.330,119.630,119.080,119.330,2506
2006.10.25,00:00,119.330,119.350,118.860,118.930,2786
2006.10.26,00:00,118.930,118.950,118.260,118.570,2566
2006.10.27,00:00,118.570,118.700,117.160,117.530,3546
2006.10.28,00:00,117.530,117.530,117.530,117.530,1
2006.10.29,00:00,117.530,117.570,117.450,117.500,211
2006.10.30,00:00,117.500,117.690,117.190,117.620,2806
2006.10.31,00:00,117.620,118.020,116.620,116.820,4206
2006.11.01,00:00,116.820,117.330,116.570,117.290,3136
2006.11.02,00:00,117.290,117.360,116.660,117.190,2466
2006.11.03,00:00,117.190,118.180,116.970,118.020,2576
2006.11.04,00:00,118.020,118.020,118.020,118.020,1
2006.11.05,00:00,118.020,118.090,117.920,117.920,241
2006.11.06,00:00,117.920,118.440,117.790,118.190,1696
2006.11.07,00:00,118.190,118.260,117.250,117.580,3056
2006.11.08,00:00,117.580,117.980,117.380,117.820,2386
2006.11.09,00:00,117.820,118.580,117.700,117.800,2826
2006.11.10,00:00,117.800,117.850,117.180,117.590,2456
2006.11.11,00:00,117.590,117.590,117.590,117.590,1
2006.11.12,00:00,117.590,117.590,117.440,117.520,231
2006.11.13,00:00,117.520,118.290,117.130,117.640,3106
2006.11.14,00:00,117.640,117.950,117.250,117.620,3566
2006.11.15,00:00,117.620,118.190,117.540,117.880,2566
2006.11.16,00:00,117.880,118.320,117.740,118.220,3066
2006.11.17,00:00,118.220,118.440,117.510,117.670,3116
2006.11.18,00:00,117.670,117.670,117.670,117.670,1
2006.11.19,00:00,117.670,117.900,117.670,117.850,281
2006.11.20,00:00,117.850,118.170,117.770,118.060,1596
2006.11.21,00:00,118.060,118.240,117.740,117.860,2286
2006.11.22,00:00,117.860,117.900,116.360,116.770,3476
2006.11.23,00:00,116.770,116.810,116.020,116.280,2216
2006.11.24,00:00,116.280,116.460,115.560,115.830,2556
2006.11.25,00:00,115.830,115.830,115.830,115.830,1
2006.11.26,00:00,115.830,115.830,115.380,115.490,561
2006.11.27,00:00,115.490,116.390,115.480,116.080,3536
2006.11.28,00:00,116.080,116.380,115.880,116.060,3306
2006.11.29,00:00,116.060,116.440,115.560,116.410,3476
2006.11.30,00:00,116.410,116.540,115.510,115.660,2996
2006.12.01,00:00,115.660,116.360,114.950,115.420,3986
2006.12.02,00:00,115.420,115.420,115.420,115.420,1
2006.12.03,00:00,115.420,115.430,115.080,115.210,491
2006.12.04,00:00,115.210,115.810,115.180,115.360,2896
2006.12.05,00:00,115.360,115.420,114.430,114.940,3366
2006.12.06,00:00,114.940,115.360,114.520,115.300,3166
2006.12.07,00:00,115.300,115.330,114.740,115.190,2296
2006.12.08,00:00,115.190,116.470,114.900,116.350,4406
2006.12.09,00:00,116.350,116.350,116.350,116.350,1
2006.12.10,00:00,116.350,116.420,116.140,116.240,451
2006.12.11,00:00,116.240,117.250,116.230,116.770,3776
2006.12.12,00:00,116.770,117.230,116.650,116.710,3106
2006.12.13,00:00,116.710,117.630,116.690,117.420,2736
2006.12.14,00:00,117.420,117.880,117.250,117.700,2786
2006.12.15,00:00,117.700,118.320,117.440,118.160,3646
2006.12.16,00:00,118.160,118.160,118.160,118.160,1
2006.12.17,00:00,118.160,118.160,117.940,118.020,301
2006.12.18,00:00,118.020,118.260,117.680,118.060,2506
2006.12.19,00:00,118.060,118.290,117.810,118.010,2976
2006.12.20,00:00,118.010,118.490,117.950,118.320,2376
2006.12.21,00:00,118.320,118.500,117.930,118.280,2606
2006.12.22,00:00,118.280,118.940,118.200,118.770,2016
2006.12.23,00:00,118.770,118.770,118.770,118.770,1
2006.12.24,00:00,118.770,118.770,118.770,118.770,1
2006.12.25,00:00,118.770,118.770,118.770,118.770,6
2006.12.26,00:00,118.770,119.220,118.770,119.110,1786
2006.12.27,00:00,119.110,119.130,118.270,118.730,2986
2006.12.28,00:00,118.730,119.020,118.520,118.890,2346
2006.12.29,00:00,118.890,119.150,118.730,119.010,1966
2006.12.30,00:00,119.010,119.010,119.010,119.010,1
2006.12.31,00:00,119.010,119.010,119.010,119.010,1
2007.01.01,00:00,119.010,119.010,119.010,119.010,6
2007.01.02,00:00,119.010,119.010,118.490,118.830,2406
2007.01.03,00:00,118.830,119.680,118.660,119.350,3006
2007.01.04,00:00,119.350,119.490,118.730,118.820,2736
2007.01.05,00:00,118.820,119.020,117.980,118.590,3976
2007.01.06,00:00,118.590,118.590,118.590,118.590,1
2007.01.07,00:00,118.590,118.730,118.590,118.600,271
2007.01.08,00:00,118.600,118.830,118.100,118.690,3516
2007.01.09,00:00,118.690,119.510,118.680,119.290,2666
2007.01.10,00:00,119.290,119.760,119.140,119.520,2396
2007.01.11,00:00,119.520,120.620,119.480,120.350,2996
2007.01.12,00:00,120.350,120.710,120.160,120.350,2706
2007.01.13,00:00,120.350,120.350,120.350,120.350,1
2007.01.14,00:00,120.350,120.420,120.190,120.260,371
2007.01.15,00:00,120.260,120.580,120.060,120.430,2096
2007.01.16,00:00,120.430,120.840,120.220,120.780,2476
2007.01.17,00:00,120.780,120.860,120.340,120.610,2016
2007.01.18,00:00,120.610,121.570,120.460,121.260,3136
2007.01.19,00:00,121.260,121.460,121.090,121.230,1896
2007.01.20,00:00,121.230,121.230,121.230,121.230,1
2007.01.21,00:00,121.230,121.270,121.200,121.260,111
2007.01.22,00:00,121.260,121.770,121.250,121.610,2056
2007.01.23,00:00,121.610,121.740,121.090,121.670,2426
2007.01.24,00:00,121.670,121.770,120.630,120.880,5196
2007.01.25,00:00,120.880,121.610,120.190,121.580,4566
2007.01.26,00:00,121.580,121.620,121.250,121.540,2626
2007.01.27,00:00,121.540,121.540,121.540,121.540,1
2007.01.28,00:00,121.540,121.540,121.410,121.450,171
2007.01.29,00:00,121.450,122.170,121.450,121.740,3036
2007.01.30,00:00,121.740,121.970,121.470,121.660,2506
2007.01.31,00:00,121.660,121.730,120.610,120.740,3906
2007.02.01,00:00,120.740,120.880,120.080,120.810,3556
2007.02.02,00:00,120.810,121.340,120.620,121.080,2956
2007.02.03,00:00,121.080,121.080,121.080,121.080,1
2007.02.04,00:00,121.080,121.170,120.940,120.970,351
2007.02.05,00:00,120.970,121.040,120.050,120.220,3156
2007.02.06,00:00,120.220,120.550,119.960,120.060,2946
2007.02.07,00:00,120.060,120.790,120.020,120.580,2426
2007.02.08,00:00,120.580,121.410,120.580,121.140,2506
2007.02.09,00:00,121.140,121.720,121.040,121.630,2976
2007.02.10,00:00,121.630,121.630,121.630,121.630,1
2007.02.11,00:00,121.630,122.080,121.630,121.850,681
2007.02.12,00:00,121.850,122.030,121.580,121.770,2446
2007.02.13,00:00,121.770,121.770,121.080,121.240,2616
2007.02.14,00:00,121.240,121.340,120.230,120.320,3766
2007.02.15,00:00,120.320,120.350,119.160,119.370,3976
2007.02.16,00:00,119.370,119.540,118.970,119.290,2826
2007.02.17,00:00,119.290,119.290,119.290,119.290,1
2007.02.18,00:00,119.290,119.390,119.210,119.340,311
2007.02.19,00:00,119.340,119.720,119.310,119.680,2246
2007.02.20,00:00,119.680,120.330,119.570,120.040,2286
2007.02.21,00:00,120.040,121.170,119.680,120.950,4496
2007.02.22,00:00,120.950,121.630,120.900,121.480,2656
2007.02.23,00:00,121.480,121.610,120.930,121.000,2446
2007.02.24,00:00,121.000,121.000,121.000,121.000,1
2007.02.25,00:00,121.000,121.060,120.930,120.940,201
2007.02.26,00:00,120.940,120.980,120.330,120.620,2646
2007.02.27,00:00,120.620,120.640,117.420,118.170,5136
2007.02.28,00:00,118.170,118.830,117.940,118.730,6066
2007.03.01,00:00,118.730,118.850,116.940,117.710,5186
2007.03.02,00:00,117.710,117.810,116.400,116.770,4646
2007.03.03,00:00,116.770,116.770,116.770,116.770,1
2007.03.04,00:00,116.770,116.770,115.930,116.110,1021
2007.03.05,00:00,116.110,116.240,115.140,115.580,5356
2007.03.06,00:00,115.580,116.890,115.580,116.790,4136
2007.03.07,00:00,116.790,116.830,115.530,115.680,3996
2007.03.08,00:00,115.680,117.450,115.570,117.150,5036
2007.03.09,00:00,117.150,118.350,117.130,118.290,4226
2007.03.10,00:00,118.290,118.290,118.290,118.290,1
2007.03.11,00:00,118.290,118.390,118.150,118.180,371
2007.03.12,00:00,118.180,118.480,117.200,117.600,4246
2007.03.13,00:00,117.600,117.770,115.860,116.050,5256
2007.03.14,00:00,116.050,117.570,115.760,117.250,5486
2007.03.15,00:00,117.250,117.750,117.000,117.230,4206
2007.03.16,00:00,117.230,117.230,116.500,116.680,3636
2007.03.17,00:00,116.680,116.680,116.680,116.680,1
2007.03.18,00:00,116.680,116.680,116.250,116.390,571
2007.03.19,00:00,116.390,117.740,116.390,117.590,4226
2007.03.20,00:00,117.590,118.020,116.920,117.210,4126
2007.03.21,00:00,117.210,117.920,117.140,117.430,3666
2007.03.22,00:00,117.430,118.300,117.220,118.130,3606
2007.03.23,00:00,118.130,118.240,117.390,118.080,3296
2007.03.24,00:00,118.080,118.080,118.080,118.080,1
2007.03.25,00:00,118.080,118.130,117.800,118.070,651
2007.03.26,00:00,118.070,118.420,117.610,118.210,3566
2007.03.27,00:00,118.210,118.380,117.630,117.950,3186
2007.03.28,00:00,117.950,117.980,116.370,116.900,3996
2007.03.29,00:00,116.900,118.150,116.640,118.080,4246
2007.03.30,00:00,118.080,118.390,117.170,117.820,5206
2007.03.31,00:00,117.820,117.820,117.820,117.820,1
2007.04.01,00:00,117.820,117.860,117.450,117.750,751
2007.04.02,00:00,117.750,118.050,117.510,117.820,2876
2007.04.03,00:00,117.820,118.970,117.710,118.870,2876
2007.04.04,00:00,118.870,119.080,118.550,118.680,3316
2007.04.05,00:00,118.680,118.970,118.430,118.700,2326
2007.04.06,00:00,118.700,119.360,118.660,119.270,1596
2007.04.07,00:00,119.270,119.270,119.270,119.270,1
2007.04.08,00:00,119.270,119.380,119.230,119.360,211
2007.04.09,00:00,119.360,119.380,119.180,119.250,1416
2007.04.10,00:00,119.250,119.300,118.740,119.160,2956
2007.04.11,00:00,119.160,119.520,118.870,119.340,2786
2007.04.12,00:00,119.340,119.500,118.780,118.980,2546
2007.04.13,00:00,118.980,119.550,118.200,119.210,3636
2007.04.14,00:00,119.210,119.210,119.210,119.210,1
2007.04.15,00:00,119.210,119.660,119.180,119.270,901
2007.04.16,00:00,119.270,119.850,118.960,119.730,2826
2007.04.17,00:00,119.730,119.790,118.790,118.810,3586
2007.04.18,00:00,118.810,118.890,118.080,118.330,3526
2007.04.19,00:00,118.330,118.570,117.600,118.410,4166
2007.04.20,00:00,118.410,118.950,118.400,118.680,2256
2007.04.21,00:00,118.680,118.680,118.680,118.680,1
2007.04.22,00:00,118.680,118.790,118.630,118.760,241
2007.04.23,00:00,118.760,119.030,118.220,118.440,3766
2007.04.24,00:00,118.440,118.930,118.240,118.560,2966
2007.04.25,00:00,118.560,118.840,118.260,118.660,2866
2007.04.26,00:00,118.660,119.660,118.520,119.560,2826
2007.04.27,00:00,119.560,119.740,118.890,119.600,3606
2007.04.28,00:00,119.600,119.600,119.600,119.600,1
2007.04.29,00:00,119.600,119.600,119.150,119.380,681
2007.04.30,00:00,119.380,119.750,119.300,119.430,2316
2007.05.01,00:00,119.430,119.890,119.070,119.770,2906
2007.05.02,00:00,119.770,120.280,119.520,120.150,3006
2007.05.03,00:00,120.150,120.440,119.960,120.360,2216
2007.05.04,00:00,120.360,120.460,119.900,120.180,1866
2007.05.05,00:00,120.180,120.180,120.180,120.180,1
2007.05.06,00:00,120.180,120.190,120.000,120.060,261
2007.05.07,00:00,120.060,120.120,119.770,120.090,1556
2007.05.08,00:00,120.090,120.110,119.520,119.940,2516
2007.05.09,00:00,119.940,120.210,119.620,120.120,2426
